website,position,phone,description,price_level,longitude,thumbnail,hours,rating,name,reviews,latitude,address,type
http://mypharmacyonline.in/,1,091453 65365,,0,73.8765428,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npY9fykC3K7GQJtx4fU16xO7xp_zl1u34RAERvXO4inr0RuK30gOr3iX2vjv87nheGh-FG0TgDxH2X_YldPFFKIfozcaY7bffNClBhIvkAq-xF9-xp5L7jyOrTdO-yMIyzBQCC4=w163-h92-k-no,Open 24 hours,3.9,My Pharmacy,66,18.5343313,"Shop No 4, Gagan Capital, Balkrishna Sakharam Dhole Patil Rd, next to Ruby Hall Exit Gate, Sangamvadi, Pune, Maharashtra 411001, India",Pharmacy
https://www.wellnessforever.com/,2,086556 83187,,0,73.8764937,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npV1DcqCXveuJPhZ9Rsls0heq5n9rPtEAqNGPNRmzcXgjHYbARXlnNwaQbCOOtPEMfiHDwj2C-EAYat74OOe7t4hlk8x47BF-pkwPjMnxhZKhv5FfKwRR6OsQdrK13kjBUq5ODuMw=w80-h106-k-no,Open 24 hours,4.1,"Wellness Forever Pharmacy - Dhole Patil Road, Pune",195,18.535112,"Shop No 4, Genesis Apartment, Balkrishna Sakharam Dhole Patil Rd, near Reliance Fresh, Sangamvadi, Pune, Maharashtra 411001, India",Pharmacy
,3,094534 54530,,0,73.87680569999999,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noQypacG536nofUqR_hwN-xmv0wRFzaoGdWScX9wXYmFvaFphEDVarEufYKgoATLIA6-HK79QsPj8hq4001yP8OaT9Lm2dhJ00zaiOacf6rUBZLuy0O7K9p-VMZ8P3VV-w4UZfd=w80-h106-k-no,Open 24 hours,4.9,LIFE CARE GENERIC PLUS PHARMACY,470,18.5075744,"Shop No 7 Ground Floor, B Wing Classic Square, 2158, New Modikhana, Pune Cantonment, Pune, Maharashtra 411042, India",Pharmacy
https://www.wellnessforever.com/,4,074004 06253,,0,73.84211979999999,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq4b3P4npKVZqRi7MvRwQAqXvH9mek4mnQYXESbYSqkghXTTavtmDmhEvFpClvOtQops8wejzejKNevAEMTrAFBrmF0JbWwpOQfPRuVX5t0WVqhjI8s_12BnL05GlhPcWIJmY4M=w122-h92-k-no,Open 24 hours,3.8,Wellness Forever Pharmacy - F.C Road Road,225,18.5265548,"Shop No 4, Ground Floor, Gokul Nagar, Fergusson College Rd, Sud Nagar, Shivajinagar, Pune, Maharashtra 411005, India",Pharmacy
https://www.wellnessforever.com/,5,086574 52383,,0,73.8977051,https://lh3.googleusercontent.com/p/AF1QipO_YO60vtGtx8LsUKz8qDwDQXe5_J0HweQp8LDM=w163-h92-k-no,Open 24 hours,3.7,"Wellness Forever Pharmacy - Koregaon Park, Pune",155,18.539448,"Shop No 3, Ground Floor, Ashiyana Park Co-Op Society, N Main Rd, Liberty Phase 2, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India",Pharmacy
https://www.wellnessforever.com/,6,086556 83190,,0,73.9408643,https://lh3.googleusercontent.com/p/AF1QipO6HzY0_0aBXgkb3631pJkGnnEElrSA-ysSf8dT=w163-h92-k-no,Open 24 hours,3.3,"Wellness Forever Pharmacy - Kharadi, Pune",149,18.549935,"Shop No 1, Ground Floor, IT TOWER, opposite Zensar, Rakshak Nagar, Kharadi, Pune, Maharashtra 411014, India",Pharmacy
https://www.wellnessforever.com/,7,086579 91246,,0,73.8062443,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqJn0d3JYv7Y7VhOF4qAD5ej5HYqWjq6gAVYtWE-bjH9Ibe11hiZwpqhFUShbgkzi73Ks45VnhlWo5c8W1_Y5h7mLa8RAZhaCd--_46T2PA7JVuCNWAr8ukGuI4gX6X5nmGyPiS=w163-h92-k-no,Open 24 hours,3.6,"Wellness Forever Pharmacy - Aundh Vasundhara Space, Pune",258,18.5654669,"Shop No 2, Vasundhara Space, DP Rd, Ward No. 8, Aundh, Pune, Maharashtra 411067, India",Pharmacy
https://www.wellnessforever.com/,8,086574 52380,,0,73.7923121,https://lh3.googleusercontent.com/p/AF1QipN2-oRhmpn2T_kCt58rOaf1MxzDy9SYpR0IqVQQ=w163-h92-k-no,Open 24 hours,3.9,"Wellness Forever Pharmacy - Baner, Pune",192,18.5585144,"Shop No.6, Pavitra Building, Pavitra Hotel, 1, opposite Cafe Coffee Day Outlet, Riviresa Society, Baner Gaon, Baner, Pune, Maharashtra 411069, India",Pharmacy
https://www.greenlinepharmacy.in/,9,097638 88222,,0,73.8308613,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq7T1iCdmXZYfd4QLuSBVbGI9cLz5ySQ5bGpvVbTPMKa0JGchnfCX-t-VNinEr9swNxC-vFqcBmx5Ivro_l5DdwKEyp6SKwA47UBfh9kXP8jhpfsR9nqKBZDkW1KqK_SH_IfWytWA=w163-h92-k-no,Open 24 hours,4.4,Greenline Pharmacy & Supermarket,338,18.5081844,"Warje Malwadi Rd, Pandurang Colony, Erandwane, Pune, Maharashtra 411004, India",Pharmacy
https://www.wellnessforever.com/,10,086578 12351,,0,73.7857629,https://lh3.googleusercontent.com/p/AF1QipN3geF-9xxORLw2OCkhlB2zZ2f3nBiu9FGA63Br=w163-h92-k-no,Open 24 hours,4.7,Wellness Forever Pharmacy - Pune Pimple Nilakh,59,18.5795438,"Shop No 9, Ground Floor, Trident Building A Wing, Nandanwan Society, Ingawale Nagar, Pimple Nilakh, Pimpri-Chinchwad, Maharashtra 411027, India",Pharmacy
