formattedValue,value,hasData,geo,isPartial,relatedQueries,date,query
61,61,True,mumbai,False,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",2025-07-04,bakery
59,59,True,mumbai,False,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",2025-07-11,bakery
65,65,True,mumbai,False,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",2025-07-18,bakery
64,64,True,mumbai,False,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",2025-07-25,bakery
66,66,True,mumbai,False,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",2025-08-01,bakery
67,67,True,mumbai,False,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",2025-08-08,bakery
73,73,True,mumbai,False,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",2025-08-15,bakery
72,72,True,mumbai,False,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",2025-08-22,bakery
72,72,True,mumbai,False,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",2025-08-29,bakery
77,77,True,mumbai,False,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",2025-09-05,bakery
75,75,True,mumbai,False,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",2025-09-12,bakery
83,83,True,mumbai,False,"['bakery near me', 'best bakery in mumbai', 'bakery services', 'affordable bakery', 'professional bakery']",2025-09-19,bakery
