longitude,open_now,phone_number,types,website,description,name,hours,price_level,address,latitude,rating,user_ratings_total
78.70140741698422,True,+91 9192350459,"['coffee_shop', 'local_business']",https://www.coffeeshop1.com,Professional coffee shop services in ,Coffee Corner 1,9:00 AM - 6:00 PM,3,"654 Commercial Complex, ",22.40519838934426,4.2,212
78.68660053594844,True,+91 9394815704,"['coffee_shop', 'local_business']",https://www.coffeeshop2.com,Professional coffee shop services in ,Bean There 2,9:00 AM - 6:00 PM,4,"753 Shopping Area, ",22.30661083663751,4.5,169
78.59170384847799,False,+91 9048324153,"['coffee_shop', 'local_business']",https://www.coffeeshop3.com,Professional coffee shop services in ,Roast Masters 3,9:00 AM - 6:00 PM,2,"456 Central Avenue, ",22.387890109127333,4.3,204
78.60490583917041,False,+91 9611643732,"['coffee_shop', 'local_business']",https://www.coffeeshop4.com,Professional coffee shop services in ,Brew Haven 4,9:00 AM - 6:00 PM,3,"456 Central Avenue, ",22.294636288358607,3.8,281
78.61246470245001,False,+91 9888098335,"['coffee_shop', 'local_business']",https://www.coffeeshop5.com,Professional coffee shop services in ,Roast Masters 5,9:00 AM - 6:00 PM,1,"456 Central Avenue, ",22.274840529272044,3.2,67
78.59279400731478,True,+91 9961083785,"['coffee_shop', 'local_business']",https://www.coffeeshop6.com,Professional coffee shop services in ,Java Junction 6,9:00 AM - 6:00 PM,3,"753 Shopping Area, ",22.351833956754565,3.8,-24
78.72672942435547,True,+91 9669410359,"['coffee_shop', 'local_business']",https://www.coffeeshop7.com,Professional coffee shop services in ,Steamy Cups 7,9:00 AM - 6:00 PM,1,"753 Shopping Area, ",22.305221994861906,4.2,-5
78.5932492734473,True,+91 9194080889,"['coffee_shop', 'local_business']",https://www.coffeeshop8.com,Professional coffee shop services in ,Cafe Aroma 8,9:00 AM - 6:00 PM,1,"789 Market Street, ",22.361293032076368,4.0,283
78.64680005848042,False,+91 9150967416,"['coffee_shop', 'local_business']",https://www.coffeeshop9.com,Professional coffee shop services in ,Daily Grind 9,9:00 AM - 6:00 PM,3,"159 City Center, ",22.381661983581143,4.2,128
78.71230228612383,True,+91 9666514990,"['coffee_shop', 'local_business']",https://www.coffeeshop10.com,Professional coffee shop services in ,Bean There 10,9:00 AM - 6:00 PM,1,"456 Central Avenue, ",22.30840196338453,4.4,171
78.69264633794191,True,+91 9393395984,"['coffee_shop', 'local_business']",https://www.coffeeshop11.com,Professional coffee shop services in ,Roast Masters 11,9:00 AM - 6:00 PM,2,"159 City Center, ",22.333864888480786,3.7,102
78.59120951313585,True,+91 9505718411,"['coffee_shop', 'local_business']",https://www.coffeeshop12.com,Professional coffee shop services in ,Brew Haven 12,9:00 AM - 6:00 PM,2,"123 Main Road, ",22.322544691135494,4.3,189
78.68688803805756,False,+91 9128762184,"['coffee_shop', 'local_business']",https://www.coffeeshop13.com,Professional coffee shop services in ,Java Junction 13,9:00 AM - 6:00 PM,2,"753 Shopping Area, ",22.380361444457506,4.1,170
78.6818981310077,True,+91 9939927825,"['coffee_shop', 'local_business']",https://www.coffeeshop14.com,Professional coffee shop services in ,Brew Haven 14,9:00 AM - 6:00 PM,1,"123 Main Road, ",22.33619584832361,4.2,145
78.61394988646401,True,+91 9093485275,"['coffee_shop', 'local_business']",https://www.coffeeshop15.com,Professional coffee shop services in ,Daily Grind 15,9:00 AM - 6:00 PM,4,"321 Downtown Area, ",22.369301367044653,4.1,-20
78.64699627278053,False,+91 9907270637,"['coffee_shop', 'local_business']",https://www.coffeeshop16.com,Professional coffee shop services in ,Brew Haven 16,9:00 AM - 6:00 PM,1,"753 Shopping Area, ",22.365454396854304,4.5,8
78.64383060013053,True,+91 9196033582,"['coffee_shop', 'local_business']",https://www.coffeeshop17.com,Professional coffee shop services in ,Java Junction 17,9:00 AM - 6:00 PM,4,"753 Shopping Area, ",22.317038074339276,4.0,176
78.60490380058444,True,+91 9923425761,"['coffee_shop', 'local_business']",https://www.coffeeshop18.com,Professional coffee shop services in ,Cafe Aroma 18,9:00 AM - 6:00 PM,3,"789 Market Street, ",22.333160915700017,4.4,212
