formattedValue,query,geo,hasData,relatedQueries,value,date,isPartial
65,coffee shop,Pune,True,"['coffee shop near me', 'best coffee shop in Pune', 'coffee shop services', 'affordable coffee shop', 'professional coffee shop']",65,2025-07-04,False
63,coffee shop,Pune,True,"['coffee shop near me', 'best coffee shop in Pune', 'coffee shop services', 'affordable coffee shop', 'professional coffee shop']",63,2025-07-11,False
64,coffee shop,Pune,True,"['coffee shop near me', 'best coffee shop in Pune', 'coffee shop services', 'affordable coffee shop', 'professional coffee shop']",64,2025-07-18,False
66,coffee shop,Pune,True,"['coffee shop near me', 'best coffee shop in Pune', 'coffee shop services', 'affordable coffee shop', 'professional coffee shop']",66,2025-07-25,False
71,coffee shop,Pune,True,"['coffee shop near me', 'best coffee shop in Pune', 'coffee shop services', 'affordable coffee shop', 'professional coffee shop']",71,2025-08-01,False
73,coffee shop,Pune,True,"['coffee shop near me', 'best coffee shop in Pune', 'coffee shop services', 'affordable coffee shop', 'professional coffee shop']",73,2025-08-08,False
76,coffee shop,Pune,True,"['coffee shop near me', 'best coffee shop in Pune', 'coffee shop services', 'affordable coffee shop', 'professional coffee shop']",76,2025-08-15,False
79,coffee shop,Pune,True,"['coffee shop near me', 'best coffee shop in Pune', 'coffee shop services', 'affordable coffee shop', 'professional coffee shop']",79,2025-08-22,False
75,coffee shop,Pune,True,"['coffee shop near me', 'best coffee shop in Pune', 'coffee shop services', 'affordable coffee shop', 'professional coffee shop']",75,2025-08-29,False
77,coffee shop,Pune,True,"['coffee shop near me', 'best coffee shop in Pune', 'coffee shop services', 'affordable coffee shop', 'professional coffee shop']",77,2025-09-05,False
82,coffee shop,Pune,True,"['coffee shop near me', 'best coffee shop in Pune', 'coffee shop services', 'affordable coffee shop', 'professional coffee shop']",82,2025-09-12,False
86,coffee shop,Pune,True,"['coffee shop near me', 'best coffee shop in Pune', 'coffee shop services', 'affordable coffee shop', 'professional coffee shop']",86,2025-09-19,False
