price_level,open_now,user_ratings_total,phone_number,latitude,description,address,rating,types,website,hours,name,longitude
3,False,44,+91 9684123927,22.364899507462514,Professional bakery services in ,"987 Business District, ",4.5,"['bakery', 'local_business']",https://www.bakery1.com,9:00 AM - 6:00 PM,Crust & Crumb 1,78.6737160607495
1,False,194,+91 9025829952,22.34398512841438,Professional bakery services in ,"321 Downtown Area, ",3.9,"['bakery', 'local_business']",https://www.bakery2.com,9:00 AM - 6:00 PM,Golden Crust 2,78.6704017531983
3,True,45,+91 9499742931,22.38271814503723,Professional bakery services in ,"321 Downtown Area, ",4.3,"['bakery', 'local_business']",https://www.bakery3.com,9:00 AM - 6:00 PM,Oven Fresh 3,78.66209805578318
3,False,72,+91 9203443181,22.381163297618382,Professional bakery services in ,"789 Market Street, ",3.7,"['bakery', 'local_business']",https://www.bakery4.com,9:00 AM - 6:00 PM,Oven Fresh 4,78.68441661980113
4,False,213,+91 9270460616,22.27359516867084,Professional bakery services in ,"321 Downtown Area, ",4.0,"['bakery', 'local_business']",https://www.bakery5.com,9:00 AM - 6:00 PM,Sweet Delights 5,78.61752066732176
4,True,217,+91 9379433621,22.391623139598053,Professional bakery services in ,"456 Central Avenue, ",4.2,"['bakery', 'local_business']",https://www.bakery6.com,9:00 AM - 6:00 PM,Golden Crust 6,78.65660280975091
2,False,197,+91 9170373833,22.388609779322774,Professional bakery services in ,"123 Main Road, ",4.3,"['bakery', 'local_business']",https://www.bakery7.com,9:00 AM - 6:00 PM,Fresh Bread 7,78.67464872566087
1,False,37,+91 9075166584,22.323567049563895,Professional bakery services in ,"456 Central Avenue, ",4.2,"['bakery', 'local_business']",https://www.bakery8.com,9:00 AM - 6:00 PM,Artisan Bakes 8,78.72756213218942
3,False,32,+91 9696561052,22.30484781830749,Professional bakery services in ,"753 Shopping Area, ",4.2,"['bakery', 'local_business']",https://www.bakery9.com,9:00 AM - 6:00 PM,Oven Fresh 9,78.59174703375473
2,False,141,+91 9056270679,22.380490877246594,Professional bakery services in ,"321 Downtown Area, ",4.0,"['bakery', 'local_business']",https://www.bakery10.com,9:00 AM - 6:00 PM,Artisan Bakes 10,78.60807042421555
4,False,81,+91 9117072214,22.36380803421456,Professional bakery services in ,"654 Commercial Complex, ",4.4,"['bakery', 'local_business']",https://www.bakery11.com,9:00 AM - 6:00 PM,Golden Crust 11,78.64799761273342
4,True,312,+91 9990052511,22.324340738107253,Professional bakery services in ,"123 Main Road, ",4.6,"['bakery', 'local_business']",https://www.bakery12.com,9:00 AM - 6:00 PM,Daily Bread 12,78.72533144771525
3,False,171,+91 9740887674,22.36819040117378,Professional bakery services in ,"456 Central Avenue, ",3.9,"['bakery', 'local_business']",https://www.bakery13.com,9:00 AM - 6:00 PM,Sweet Delights 13,78.59195650383411
3,False,167,+91 9778585768,22.295953672953075,Professional bakery services in ,"321 Downtown Area, ",3.7,"['bakery', 'local_business']",https://www.bakery14.com,9:00 AM - 6:00 PM,Artisan Bakes 14,78.74747187973345
1,True,194,+91 9700434991,22.42760614012706,Professional bakery services in ,"321 Downtown Area, ",4.4,"['bakery', 'local_business']",https://www.bakery15.com,9:00 AM - 6:00 PM,Oven Fresh 15,78.65822385376657
1,False,131,+91 9636178885,22.3653884118173,Professional bakery services in ,"987 Business District, ",4.3,"['bakery', 'local_business']",https://www.bakery16.com,9:00 AM - 6:00 PM,Artisan Bakes 16,78.60235665618848
1,False,52,+91 9666526509,22.32747980070778,Professional bakery services in ,"987 Business District, ",3.8,"['bakery', 'local_business']",https://www.bakery17.com,9:00 AM - 6:00 PM,Artisan Bakes 17,78.73321770333871
1,True,145,+91 9581346328,22.27366145120238,Professional bakery services in ,"159 City Center, ",4.3,"['bakery', 'local_business']",https://www.bakery18.com,9:00 AM - 6:00 PM,Oven Fresh 18,78.72602274203533
3,True,174,+91 9231940836,22.30590501386404,Professional bakery services in ,"456 Central Avenue, ",4.2,"['bakery', 'local_business']",https://www.bakery19.com,9:00 AM - 6:00 PM,Artisan Bakes 19,78.59794435036756
4,False,316,+91 9246986704,22.277380204560462,Professional bakery services in ,"159 City Center, ",4.0,"['bakery', 'local_business']",https://www.bakery20.com,9:00 AM - 6:00 PM,Oven Fresh 20,78.74007967226277
4,False,253,+91 9059191485,22.35712360226063,Professional bakery services in ,"789 Market Street, ",4.4,"['bakery', 'local_business']",https://www.bakery21.com,9:00 AM - 6:00 PM,Sweet Delights 21,78.6410727123062
4,False,558,+91 9464787911,22.30089754009627,Professional bakery services in ,"789 Market Street, ",4.6,"['bakery', 'local_business']",https://www.bakery22.com,9:00 AM - 6:00 PM,Fresh Bread 22,78.65161768206515
1,True,57,+91 9347112918,22.326771996896053,Professional bakery services in ,"987 Business District, ",4.1,"['bakery', 'local_business']",https://www.bakery23.com,9:00 AM - 6:00 PM,Fresh Bread 23,78.6911049910654
3,False,246,+91 9889495891,22.428464141858523,Professional bakery services in ,"321 Downtown Area, ",4.8,"['bakery', 'local_business']",https://www.bakery24.com,9:00 AM - 6:00 PM,Fresh Bread 24,78.65259846688119
